Player,GP,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"White, Derrick",18,20.2,56.0,4.6,6.2,13.4,46.3,2.4,4.5,54.3,3.8,8.9,42.2
"Tatum, Jayson",18,19.1,53.0,3.7,8.0,20.4,39.2,4.2,9.8,42.6,3.8,10.6,36.1
"Brown, Jaylen",14,12.3,44.0,3.9,7.6,20.0,37.9,5.2,13.1,39.9,2.4,6.9,34.0
"Pritchard, Payton",18,14.3,39.7,3.4,4.7,10.1,46.2,1.2,1.9,61.8,3.5,8.2,42.6
"Holiday, Jrue",17,12.2,35.8,2.7,4.1,9.3,43.4,2.3,4.3,52.7,1.8,5.0,35.3
"Porziņģis, Kristaps",1,0.5,25.0,5.0,5.0,13.0,38.5,4.0,7.0,57.1,1.0,6.0,16.7
"Horford, Al",14,6.6,23.4,3.4,3.4,7.1,48.5,1.1,1.9,61.5,2.3,5.2,43.8
"Hauser, Sam",15,4.1,13.7,2.6,2.8,6.7,42.0,0.8,1.1,75.0,2.0,5.6,35.7
"Kornet, Luke",14,3.0,10.8,1.3,1.4,2.3,62.5,1.4,2.3,62.5,0.0,0.0,-
"Queta, Neemias",16,3.4,10.7,2.2,2.2,3.9,56.5,2.2,3.8,58.3,0.0,0.1,0.0
"Davison, JD",3,0.6,10.3,0.0,0.3,1.7,20.0,0.3,1.0,33.3,0.0,0.7,0.0
"Tillman, Xavier",11,1.5,6.9,0.5,0.6,2.4,23.1,0.3,1.0,27.3,0.3,1.4,20.0
"Scheierman, Baylor",3,0.3,5.3,0.3,0.3,2.3,14.3,0.3,1.0,33.3,0.0,1.3,0.0
"Springer, Jaden",4,0.4,4.8,0.0,0.0,1.3,0.0,0.0,0.8,0.0,0.0,0.5,0.0
"Walsh, Jordan",14,1.3,4.6,0.5,0.5,1.6,30.4,0.1,0.3,50.0,0.4,1.4,26.3
"Peterson, Drew",3,0.2,2.7,0.0,0.0,0.3,0.0,0.0,0.0,-,0.0,0.3,0.0