Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Traoré, Armel",LAL,0.1,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Knecht, Dalton",LAL,4.3,2.2,0.4,0.6,0.7,81.8,0.5,0.6,77.8,0.1,0.1,100
"Christie, Max",LAL,3.9,2.0,0.1,0.5,0.8,58.3,0.5,0.8,58.3,0.0,0.0,-
"Reaves, Austin",LAL,31.8,16.3,1.5,2.1,5.9,36.4,1.9,5.4,35.8,0.2,0.5,42.9
"Hayes, Jaxson",LAL,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-
"Reddish, Cam",LAL,2.6,1.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0",-
"Vincent, Gabe",LAL,4.9,2.5,0.1,0.3,0.8,33.3,0.3,0.7,36.4,0.0,0.1,0.0
"Hachimura, Rui",LAL,3.5,1.8,0.2,0.3,0.8,41.7,0.3,0.8,41.7,0.0,0.0,-
"Russell, D'Angelo",LAL,20.4,10.5,1.3,1.6,3.8,42.1,1.5,3.3,44.0,0.1,0.5,28.6
"James, LeBron",LAL,28.0,14.3,3.2,3.3,6.1,54.9,2.9,5.0,58.7,0.4,1.1,37.5